,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5552,0.0,50.0,0.0,0.4613
split 1,0.0,50.0,0.0,0.5326,0.0,50.0,0.0,0.4183
split 2,0.0,50.0,0.0,0.5255,0.0,50.0,0.0,0.4848
split 3,0.0,50.0,0.0,0.5551,0.0,50.0,0.0,0.5128
split 4,0.0,50.0,0.0,0.5402,0.0,50.0,0.0,0.4971
split 5,0.0,50.0,0.0,0.5174,0.0,50.0,0.0,0.5135
mean,0.0,50.0,0.0,0.5377,0.0,50.0,0.0,0.4813
std,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0333
test mean,0.0,50.0,0.0,0.5353859027111456,0.0,50.0,0.0,0.5327924719735733
test std,0.0,1.58043751534181e-14,0.0,0.0672196495040252,0.0,1.6280579355608324e-14,0.0,0.12609793268014372
