plant,time point,cell,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,communicability betweenness centrality.1,harmonic centrality.1,size on 2 neighborhood.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,communicability betweenness centrality.2,harmonic centrality.2,size on 2 neighborhood.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,weighted node degree.3,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,current flow betweenness centrality.3,communicability betweenness centrality.3,load centrality.3,harmonic centrality.3,size on 2 neighborhood.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p3 FM6 flower 1,0,13266,0.4,0.0090896020618404,0.0653073719389943,0.1245177668097169,0.0064438053827728,0.0875043833898806,0.0834734627385135,0.0938940118383865,0.0636853713496796,41.44960317460316,44.0,0.231578947368421,4.4,2.336842105263158,0.7346074054288769,0.1201054965354808,0.1804276949027957,0.0001811402944215,0.0131452992047574,0.0063067692429342,0.0875043833898806,0.0845886564663737,0.0938940118383865,2236.431407327851,44.0,0.231578947368421,4.4,0.0446389710465401,0.0147151006817119,1.6284642748565468,0.029970125814038,0.0022357050859069,0.0002115883837797,0.0062085792239792,0.0875043833898806,0.0857675945046971,0.0938940118383865,214.3382285906501,44.0,0.231578947368421,4.4,0.4586467179518313,0.1624677206160046,0.7695376457021267,0.0460271332166207,0.0011636653528287,0.0909015715467328,0.0010180235319062,0.0063321451207022,0.0875043833898806,0.087423817271478,0.0938940118383865,0.0909015715467328,395.4195437185025,44.0,0.231578947368421,4.4,0.2579135486502921,0.0774946505469031
p3 FM6 flower 1,0,13307,0.5,0.008525792498735,0.038372715932606,0.1124949153143451,0.0055057129762663,0.081411617078515,0.0662065478681327,0.0698538964992249,0.0435302313033271,40.75086580086579,43.0,0.2263157894736842,4.3,2.321052631578948,0.7638471892964344,0.1353775650083822,0.3002179336705977,0.0001835487258711,0.1348961702303098,0.0059822721877188,0.081411617078515,0.0736741367250151,0.0698538964992249,1927.8095481654548,43.0,0.2263157894736842,4.3,0.0529701525974816,0.0166897572710131,1.1154402476323488,0.0383444686660059,0.0020116875584003,0.0003207982787091,0.0043407186613719,0.081411617078515,0.0552129966345199,0.0698538964992249,195.1326423892456,43.0,0.2263157894736842,4.3,0.5028677634540009,0.1673522612424828,0.7263356364522362,0.0653069801855623,0.0011288664153533,0.0073614557485525,0.0068116878342336,0.0057222957326893,0.081411617078515,0.0732777731319856,0.0698538964992249,0.0073614557485525,345.7069622935669,43.0,0.2263157894736842,4.3,0.2621446787441684,0.0837187958041921
p3 FM6 flower 1,0,13326,0.4,0.0090213166014029,0.035078611842533,0.1148236391723474,0.0064671469189911,0.085848429977822,0.0764405247911207,0.0629755486876226,0.0320719811727969,39.29761904761912,42.0,0.2456140350877193,4.421052631578948,2.298245614035088,0.7959765987503051,0.1375721424120616,0.2095769217247858,0.000187724702277,0.0045206063336796,0.0065637468040265,0.085848429977822,0.0807113008557807,0.0629755486876226,1919.1416228236685,42.0,0.2456140350877193,4.421052631578948,0.0509807808946443,0.0179251441462536,1.4972998889468725,0.0278885761782033,0.0021679113027829,0.0001618930524879,0.0055145278143262,0.085848429977822,0.0711002330666007,0.0629755486876226,203.0954037628053,42.0,0.2456140350877193,4.421052631578948,0.4545339309100909,0.1849932583108943,0.6883014248872168,0.045085068692859,0.0011396040358587,0.0201819685690653,4.044962949278373e-05,0.0060250213237938,0.085848429977822,0.0789940307078501,0.0629755486876226,0.0201819685690653,352.5428223557833,42.0,0.2456140350877193,4.421052631578948,0.2578343498570788,0.0902314340721629
p3 FM6 flower 1,0,13327,0.4,0.0089822705983646,0.0531525375275208,0.1059147302329458,0.0065035207751745,0.0861288504293929,0.078902202420669,0.0689770859872782,0.0566341946397389,39.8416666666667,42.0,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885639,0.1162101761773423,0.1790991096859157,0.0001785594761517,0.0018410661980756,0.0061337969504958,0.0861288504293929,0.0760917623059475,0.0689770859872782,2117.801446215237,42.0,0.2456140350877193,4.421052631578948,0.0458848239335559,0.0166395866525629,1.2348328162509496,0.026883498096343,0.0020444432475893,2.643732334807235e-05,0.0051645516271573,0.0861288504293929,0.0617542783579859,0.0689770859872782,213.4362599205004,42.0,0.2456140350877193,4.421052631578948,0.4454819010835527,0.1957360848264669,0.681392855283257,0.0440026185777529,0.0011284942355641,0.0311000827129859,2.7052554469375983e-05,0.0058841681547293,0.0861288504293929,0.0791729569694076,0.0689770859872782,0.0311000827129859,361.8412049904288,42.0,0.2456140350877193,4.421052631578948,0.2630520143344467,0.0939841076219613
p3 FM6 flower 1,0,13331,0.4,0.009008426813253,0.0293938597888174,0.127371427668905,0.0064813416153345,0.0850543650881505,0.0730522012617608,0.0583037094861097,0.0293599495316523,40.08055555555556,38.0,0.2794117647058823,4.470588235294118,2.169117647058824,0.939634704362741,0.1546023860727571,0.2317397559900364,0.0001914721624754,0.0114752334325648,0.0071157852306812,0.0850543650881505,0.0831345510741803,0.0583037094861097,1886.9017704543987,38.0,0.2794117647058823,4.470588235294118,0.0475016099771928,0.0207506078592169,2.9081336066639984,0.0334108703903114,0.0023252589292081,0.0012633343254457,0.0091125990939275,0.0850543650881505,0.0838804224113356,0.0583037094861097,208.89752956469607,38.0,0.2794117647058823,4.470588235294118,0.4393395925955834,0.1940115416481042,0.7372459557385317,0.0474433595963081,0.0011492955442082,0.0157154673283705,0.0002112842952235,0.0064784611474588,0.0850543650881505,0.0788144840665816,0.0583037094861097,0.0157154673283705,367.0460173282364,38.0,0.2794117647058823,4.470588235294118,0.2323987370629115,0.111598037320605
p3 FM6 flower 1,0,13345,0.5,0.0086683703353953,0.0289328135231002,0.1235343430102063,0.0054800846574495,0.0812302334771947,0.0636229284734374,0.0564901293855025,0.0323716292405691,40.67142857142855,43.0,0.2263157894736842,4.3,2.321052631578948,0.66114309763023,0.0992560581908635,0.2252844440810859,0.0001744547166579,0.0085299472156473,0.0048457109412816,0.0812302334771947,0.0615449762599828,0.0564901293855025,2141.625248777863,43.0,0.2263157894736842,4.3,0.0466081460488547,0.0134234791259843,0.8704979217329865,0.0343961174849666,0.0018949922137504,0.0024743407329462,0.0033848427060959,0.0812302334771947,0.0387248144794585,0.0564901293855025,221.0887804182192,43.0,0.2263157894736842,4.3,0.4826683886860281,0.1475582024220554,0.5596657571367083,0.051528254025455,0.0010760931119411,0.043010752688172,0.0001715134312925,0.0051068834808855,0.0812302334771947,0.0670793310355567,0.0564901293855025,0.043010752688172,381.27491614173294,43.0,0.2263157894736842,4.3,0.2334354565295907,0.0681361938601279
p3 FM6 flower 1,0,13355,0.3333333333333333,0.0093002825688472,0.0844719944146026,0.1177337812347253,0.0074560892398579,0.0937318052092833,0.09541680323727,0.0878210362852684,0.089256794826765,40.5761904761905,48.0,0.2285714285714285,4.571428571428571,2.376190476190476,0.7527202003793263,0.152816608547215,0.1720011993129648,0.000191126052844,0.0033932536116037,0.0072305918489832,0.0937318052092833,0.0961109804379271,0.0878210362852684,2019.307874394396,48.0,0.2285714285714285,4.571428571428571,0.0534296584118296,0.0172970738033873,1.7670726905608412,0.0261152892529218,0.0022127045010445,0.0001967037639607,0.0065030764210927,0.0937318052092833,0.0861862239521886,0.0878210362852684,203.84759524248227,48.0,0.2285714285714285,4.571428571428571,0.4975543106562332,0.1830979324325973,0.8178223058143702,0.0389488950714953,0.0011798371114331,0.0492142266335814,1.0565223564248438e-05,0.0068832634209629,0.0937318052092833,0.0953718948315625,0.0878210362852684,0.0492142266335814,358.4018748840661,48.0,0.2285714285714285,4.571428571428571,0.2735804431172752,0.0859392447839954
p3 FM6 flower 1,0,13371,0.4,0.0088614971583131,0.0372862751290396,0.1138120469688594,0.0064721029213581,0.0866540191964191,0.072811630521937,0.0577631566179502,0.0364692400934109,38.8015873015874,45.0,0.2368421052631578,4.5,2.331578947368421,0.7247331038038066,0.1552216484035581,0.2339970991112498,0.00019063778384,0.0065819622240976,0.006667200136106,0.0866540191964191,0.0798342323656807,0.0577631566179502,1724.2895640117467,45.0,0.2368421052631578,4.5,0.0584437844912578,0.0185252748511834,2.389813256207019,0.0366717496506714,0.0023011501726151,0.0020757907951271,0.0071411723377822,0.0866540191964191,0.0767340437083171,0.0577631566179502,202.7621017533658,45.0,0.2368421052631578,4.5,0.4880864872410787,0.2188886343093009,0.7558894057118226,0.04777105971265,0.0011443621160743,0.0292803970223325,1.2349838454963363e-05,0.0064559437410351,0.0866540191964191,0.0788804574835582,0.0577631566179502,0.0292803970223325,342.2860810623911,45.0,0.2368421052631578,4.5,0.2644469106818566,0.0832220863267333
p3 FM6 flower 1,0,13372,0.4,0.0087473076456682,0.0297148301571047,0.1037050658159062,0.00652568937683,0.0859246062587174,0.0689453171155338,0.0520467485812853,0.0313551916705385,38.3159090909092,42.0,0.2456140350877193,4.421052631578948,2.263157894736842,0.7895847032078734,0.170643866681994,0.2552303698719319,0.0001906446896316,0.0060651314756937,0.0073496835807669,0.0859246062587174,0.0800361992877641,0.0520467485812853,1707.4923526368625,42.0,0.2456140350877193,4.421052631578948,0.0559423717631819,0.0196391013267592,3.432974406896317,0.0385615693460208,0.0022808374007289,0.0012642361354107,0.0097415744937989,0.0859246062587174,0.0748195967582185,0.0520467485812853,194.45155386808096,42.0,0.2456140350877193,4.421052631578948,0.4687945508808589,0.1791756896113785,0.7712036796830724,0.0501802679994181,0.0011302459177057,0.0150537634408602,5.699595073924757e-06,0.0065302488462048,0.0859246062587174,0.0735041242293408,0.0520467485812853,0.0150537634408602,332.9644617477673,42.0,0.2456140350877193,4.421052631578948,0.2661605630649828,0.0964229875135531
p3 FM6 flower 1,0,13419,0.5,0.0083719104006111,0.0248348189523654,0.1094981950788619,0.0055580678294903,0.0805688446605091,0.0585809330567538,0.0538368207969119,0.0252866335599816,39.16309523809532,41.0,0.239766081871345,4.315789473684211,2.2514619883040936,0.7014834053645745,0.1393343024435726,0.2967506504657404,0.0001816012498114,0.0087744254220824,0.0062368570292493,0.0805688446605091,0.0692342927890776,0.0538368207969119,1913.063548789003,41.0,0.239766081871345,4.315789473684211,0.0449672672803262,0.0147287295172511,1.3453426944315945,0.043006343818916,0.0021105382212255,0.0147808840766985,0.0046626014024158,0.0805688446605091,0.0529220603985302,0.0538368207969119,195.80851247915496,41.0,0.239766081871345,4.315789473684211,0.4690073328224746,0.2021674559525001,0.6818395824469968,0.0610931683041433,0.0010737116477315,0.0,6.534236508751237e-05,0.0059497720421844,0.0805688446605091,0.0641330460095714,0.0538368207969119,0.0,372.0907883359975,41.0,0.239766081871345,4.315789473684211,0.2403412549241882,0.0780361624226004
