,F1,Acc,precision,Auc
test tissue 0,64.70588235294117,57.14285714285714,55.00000000000001,0.693877551020408
test tissue 1,55.96707818930041,55.04201680672269,54.83870967741936,0.5882352941176471
test tissue 2,62.0689655172414,72.50000000000001,100.0,0.8625
test tissue 3,52.63157894736842,62.50000000000002,71.42857142857143,0.7314814814814816
test tissue 4,56.603773584905646,59.64912280701754,61.224489795918366,0.7324561403508771
test tissue 5,61.11111111111109,65.0,68.74999999999997,0.825
test tissue 6,52.71317829457364,62.229102167182646,70.46632124352331,0.7306501547987616
test tissue 7,72.0,78.12500000000003,100.0,0.9177631578947368
test mean,59.725195999680224,64.02351236547251,72.71351151817906,0.7602454724579891
test std,6.187149874872676,7.283056405850124,16.870054524741043,0.09742218554903631
