,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,62.57,63.01,69.35,55.34,62.6,62.54,63.13,68.74,55.73,0.795,52.55,53.88,57.45,46.31,52.44,52.71,54.16,58.97,44.99,0.7113
split 1,61.95,64.28,68.02,53.54,62.09,61.88,64.42,66.0,55.21,0.7929999999999999,64.49,68.86,73.98,50.63,65.07,64.34,66.48,70.88,55.66,0.8261
split 2,62.12,63.88,69.57,52.93,62.3,62.04,64.46,67.18,54.49,0.8079,53.9,55.54,56.43,49.72,53.89,53.93,54.45,57.58,49.77,0.7238
split 3,59.56,61.12,66.65,50.92,59.83,59.49,60.61,63.9,53.97,0.7848,61.0,65.92,66.75,50.34,61.11,61.67,60.19,73.18,51.63,0.7936
split 4,60.85,62.25,67.77,52.55,61.03,60.78,62.43,65.5,54.4,0.7846,60.25,60.68,65.82,54.26,60.36,60.22,59.78,64.6,56.28,0.7801
split 5,61.18,63.04,67.42,53.09,61.28,61.12,63.03,66.07,54.25,0.7895,59.74,57.04,68.46,53.74,59.99,60.95,68.35,63.63,50.86,0.7683
mean,61.37,62.93,68.13,53.06,61.52,61.31,63.01,66.23,54.68,0.7925,58.66,60.32,64.81,50.83,58.81,58.97,60.57,64.81,51.53,0.7672
std,0.99,1.04,1.03,1.31,0.94,1.0,1.31,1.49,0.6,0.0079,4.15,5.47,6.15,2.65,4.34,4.21,5.4,5.7,3.79,0.0395
test mean,60.57585557866337,61.22501382409172,66.66859345204143,53.833959459856985,61.18113435310593,61.5202086607287,62.35779850777943,65.29490176574166,56.907925708665005,0.7832157259177626,53.818532397764,54.49813308524451,63.16281831921222,43.79464578883529,56.02337222711303,57.63326182167573,54.10123851681343,61.19982365435249,57.59872329386124,0.7533746312897966
test std,9.619205231226735,12.038530806061866,12.76643482419988,10.756162765525778,9.496193498760436,9.221973460432336,10.974755434033524,10.328000525160292,11.63396643262959,0.07527668405633597,8.578305519081411,18.262607771553814,8.819127695284454,10.231117670220655,7.59668412827688,9.453342644519019,5.671746324148694,10.856270056147421,15.821548846350414,0.06525457697832429
