Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
3085,29.5881,29.5881,1.23143,-4.16636,17.0413
3213,32.7377,32.7377,21.2626,16.5484,12.4244
3245,44.2208,44.2208,37.3546,-12.3789,4.19919
2989,36.0203,36.0203,38.8985,4.42061,3.84199
3053,38.3263,38.3263,10.4913,-13.4978,15.1345
3197,32.076,32.076,3.25459,-9.50159,16.4359
3203,31.3193,31.3193,-13.5798,-19.9371,12.7839
3267,26.0842,26.0842,-3.33365,-1.72489,17.2072
3011,24.0352,24.0352,8.75154,-8.00735,16.3371
3235,38.1686,38.1686,23.7767,-33.8005,1.13155
3091,33.1209,33.1209,13.0079,-6.81809,15.9296
3123,23.8658,23.8658,31.6091,16.9691,6.93377
2995,45.2775,45.2775,-3.8193,4.52297,17.8252
2955,32.8566,32.8566,18.0145,-4.97807,15.0162
3147,39.462,39.462,-21.5674,-6.73486,14.325
2891,27.3219,27.3219,-4.41577,31.6009,13.3703
3019,31.0705,31.0705,9.09146,10.4436,17.1393
3179,34.4463,34.4463,25.4766,-10.8255,11.2033
3099,42.4949,42.4949,34.0063,-21.7121,3.48032
3227,29.8889,29.8889,6.73158,17.822,16.5066
3163,36.5449,36.5449,40.9671,-4.77668,2.51465
3035,26.6844,26.6844,32.024,-6.14624,8.52535
3259,23.7967,23.7967,-0.614285,38.3445,9.01509
3207,28.5015,28.5015,21.6524,-6.55665,13.6264
3239,21.2497,21.2497,37.7092,-19.1796,2.27979
2983,32.639,32.639,23.4109,-23.3478,7.84566
3223,30.8079,30.8079,-10.3464,12.2981,17.634
3191,41.9618,41.9618,-15.9414,17.8607,15.9162
3063,30.4063,30.4063,12.7935,28.7069,11.4279
2959,27.1283,27.1283,5.87552,-3.53147,17.015
3151,37.6566,37.6566,-0.819536,-34.1269,6.75897
3167,42.9276,42.9276,-18.1989,-19.2402,11.9418
3135,32.2117,32.2117,-23.9888,5.12542,14.3825
2943,41.5475,41.5475,-26.6174,-1.4749,13.4362


Area HeatMap results for mesh 2
Signal range: 18.7884-52.8787 micro m^2
