,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,81.28,81.41,81.87,0.8946,74.04,64.94,58.78,0.9177
split 1,96.02,96.04,96.39,0.9915,75.68,72.73,68.29,0.8292
split 2,90.11,90.43,93.18,0.973,66.87,62.32,59.67,0.7363
split 3,76.55,77.2,78.78,0.8475,85.0,85.0,85.0,0.9253
split 4,80.38,80.59,81.25,0.8794,84.85,84.38,82.35,0.9366
split 5,81.14,81.67,83.53,0.8905,87.88,87.5,85.29,0.9473
mean,84.25,84.55,85.83,0.9127,79.05,76.14,73.23,0.8821
std,6.65,6.51,6.55,0.0517,7.44,10.03,11.43,0.0757
